Bookings,Daily_price,Size,Area
3.1,89,1.5,Manhattan
1.26,135,1.5,Brooklyn
1.52,174,1.5,Brooklyn
1.3,89,1.5,Brooklyn
1.26,110,1.5,Manhattan
1.24,130,1.5,Brooklyn
4.52,78,1.5,Brooklyn
1.68,49,1.5,Brooklyn
0.54,79,1.5,Brooklyn
0.56,135,1.5,Manhattan
4.8,185,1.5,Brooklyn
1.22,225,1.5,Brooklyn
0.4,245,1.5,Manhattan
0.44,135,1.5,Manhattan
8.78,325,1.5,Brooklyn
3.66,95,1.5,Brooklyn
2.18,120,1.5,Manhattan
1.16,195,1.5,Brooklyn
1.32,499,1.5,Manhattan
4.88,88,1.5,Brooklyn
0.54,160,1.5,Brooklyn
2.34,219,1.5,Manhattan
0.52,218,1.5,Manhattan
0.98,159,1.5,Manhattan
0.48,180,1.5,Brooklyn
0.04,150,1.5,Manhattan
0.68,106,1.5,Manhattan
0.72,299,1.5,Manhattan
0.54,165,1.5,Brooklyn
0.2,500,1.5,Brooklyn
0.3,250,1.5,Manhattan
1.48,87,1.5,Manhattan
1,79,1.5,Brooklyn
4.4,75,1.5,Manhattan
1.1,200,1.5,Brooklyn
0.66,80,1.5,Manhattan
1.38,76,1.5,Brooklyn
1.22,75,1.5,Brooklyn
1.68,75,1.5,Brooklyn
4.58,125,1.5,Manhattan
1.1,387,1.5,Manhattan
1.74,95,1.5,Manhattan
0.84,99,1.5,Manhattan
0.34,121,1.5,Manhattan
1.86,75,1.5,Manhattan
2.78,95,1.5,Manhattan
0.14,195,1.5,Manhattan
,160,1.5,Manhattan
0.4,70,1.5,Brooklyn
0.16,100,1.5,Manhattan
0.08,135,1.5,Manhattan
5.76,189,1.5,Manhattan
,160,1.5,Brooklyn
0.18,178,1.5,Brooklyn
0.96,145,1.5,Brooklyn
0.14,125,1.5,Brooklyn
1.9,265,1.5,Manhattan
0.24,77,1.5,Brooklyn
3.2,129,1.5,Manhattan
0.92,199,1.5,Manhattan
0.94,92,1.5,Brooklyn
0.8,68,1.5,Brooklyn
